categoria,score,type,name
Acción y Aventura,8.67,Movie,Howl no Ugoku Shiro
Fantásticos y Experimentales,8.67,Movie,Mononoke Hime
Acción y Aventura,8.67,Movie,Mononoke Hime
Comedia,8.66,ONA,Monogatari Series: Off & Monster Season
Acción y Aventura,8.66,ONA,Monogatari Series: Off & Monster Season
Misterio y Terror,8.66,ONA,Monogatari Series: Off & Monster Season
Fantásticos y Experimentales,8.65,ONA,Guimi Zhi Zhu: Xiaochou Pian
Acción y Aventura,8.65,ONA,Guimi Zhi Zhu: Xiaochou Pian
Misterio y Terror,8.65,ONA,Guimi Zhi Zhu: Xiaochou Pian
Emocionales y Humanistas,8.65,TV,Mushishi
Acción y Aventura,8.65,TV,Mushishi
Misterio y Terror,8.65,TV,Mushishi
Fantásticos y Experimentales,8.65,ONA,Tian Guan Cifu Er
Emocionales y Humanistas,8.65,ONA,Tian Guan Cifu Er
Acción y Aventura,8.65,ONA,Tian Guan Cifu Er
Fantásticos y Experimentales,8.64,TV,Ore dake Level Up na Ken Season 2: Arise from the Shadow
Acción y Aventura,8.64,TV,Ore dake Level Up na Ken Season 2: Arise from the Shadow
Fantásticos y Experimentales,8.64,Movie,Fate/stay night Movie: Heaven's Feel - III. Spring Song
Acción y Aventura,8.64,Movie,Fate/stay night Movie: Heaven's Feel - III. Spring Song
Fantásticos y Experimentales,8.64,TV,Tengen Toppa Gurren Lagann
Acción y Aventura,8.64,TV,Tengen Toppa Gurren Lagann
Emocionales y Humanistas,8.64,TV,Odd Taxi
Misterio y Terror,8.64,TV,Odd Taxi
Emocionales y Humanistas,8.64,ONA,Shiguang Dailiren II
Misterio y Terror,8.64,ONA,Shiguang Dailiren II
Emocionales y Humanistas,8.64,TV,Shigatsu wa Kimi no Uso
Emocionales y Humanistas,8.64,TV,Shingeki no Kyojin Season 3
Acción y Aventura,8.64,TV,Shingeki no Kyojin Season 3
Misterio y Terror,8.64,TV,Shingeki no Kyojin Season 3
Emocionales y Humanistas,8.63,Movie,Look Back
Acción y Aventura,8.63,Movie,Uma Musume: Pretty Derby - Shin Jidai no Tobira
Fantásticos y Experimentales,8.63,TV,Made in Abyss
Emocionales y Humanistas,8.63,TV,Made in Abyss
Acción y Aventura,8.63,TV,Made in Abyss
Misterio y Terror,8.63,TV,Made in Abyss
Emocionales y Humanistas,8.63,TV,Natsume Yuujinchou Shi
Acción y Aventura,8.63,TV,Natsume Yuujinchou Shi
Emocionales y Humanistas,8.62,TV,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen
Comedia,8.62,TV,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen
Fantásticos y Experimentales,8.62,ONA,Cyberpunk: Edgerunners
Acción y Aventura,8.62,ONA,Cyberpunk: Edgerunners
Emocionales y Humanistas,8.62,TV,Ping Pong the Animation
Acción y Aventura,8.62,TV,Ping Pong the Animation
Fantásticos y Experimentales,8.62,TV,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
Emocionales y Humanistas,8.62,TV,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
Íntimos y Adultos,8.62,TV,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
Acción y Aventura,8.62,TV,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
Acción y Aventura,8.62,TV,Death Note
Misterio y Terror,8.62,TV,Death Note
Acción y Aventura,8.62,TV,Haikyuu!! Second Season
Acción y Aventura,8.61,TV,Bungou Stray Dogs 5th Season
Misterio y Terror,8.61,TV,Bungou Stray Dogs 5th Season
Acción y Aventura,8.61,Movie,Haikyuu!! Movie: Gomisuteba no Kessen
Emocionales y Humanistas,8.61,TV,Natsume Yuujinchou Roku
Acción y Aventura,8.61,TV,Natsume Yuujinchou Roku
Acción y Aventura,8.61,TV,Hajime no Ippo: Rising
Fantásticos y Experimentales,8.6,TV,Dungeon Meshi
Emocionales y Humanistas,8.6,TV,Dungeon Meshi
Comedia,8.6,TV,Dungeon Meshi
Acción y Aventura,8.6,TV,Dungeon Meshi
Fantásticos y Experimentales,8.6,Movie,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen
Acción y Aventura,8.6,Movie,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen
Fantásticos y Experimentales,8.6,Movie,Made in Abyss Movie 3: Fukaki Tamashii no Reimei
Emocionales y Humanistas,8.6,Movie,Made in Abyss Movie 3: Fukaki Tamashii no Reimei
Acción y Aventura,8.6,Movie,Made in Abyss Movie 3: Fukaki Tamashii no Reimei
Misterio y Terror,8.6,Movie,Made in Abyss Movie 3: Fukaki Tamashii no Reimei
Fantásticos y Experimentales,8.6,TV,Made in Abyss: Retsujitsu no Ougonkyou
Emocionales y Humanistas,8.6,TV,Made in Abyss: Retsujitsu no Ougonkyou
Acción y Aventura,8.6,TV,Made in Abyss: Retsujitsu no Ougonkyou
Misterio y Terror,8.6,TV,Made in Abyss: Retsujitsu no Ougonkyou
Fantásticos y Experimentales,8.6,TV,Kenpuu Denki Berserk
Emocionales y Humanistas,8.6,TV,Kenpuu Denki Berserk
Acción y Aventura,8.6,TV,Kenpuu Denki Berserk
Misterio y Terror,8.6,TV,Kenpuu Denki Berserk
Emocionales y Humanistas,8.59,Movie,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
Acción y Aventura,8.59,Movie,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
Fantásticos y Experimentales,8.59,Movie,Suzumiya Haruhi no Shoushitsu
Acción y Aventura,8.59,Movie,Suzumiya Haruhi no Shoushitsu
Misterio y Terror,8.59,Movie,Suzumiya Haruhi no Shoushitsu
Fantásticos y Experimentales,8.58,Movie,Shin Evangelion Movie:||
Emocionales y Humanistas,8.58,Movie,Shin Evangelion Movie:||
Acción y Aventura,8.58,Movie,Shin Evangelion Movie:||
Misterio y Terror,8.58,Movie,Shin Evangelion Movie:||
Acción y Aventura,8.58,TV,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
Emocionales y Humanistas,8.58,Movie,Mushishi Zoku Shou: Suzu no Shizuku
Acción y Aventura,8.58,Movie,Mushishi Zoku Shou: Suzu no Shizuku
Misterio y Terror,8.58,Movie,Mushishi Zoku Shou: Suzu no Shizuku
Emocionales y Humanistas,8.57,TV,Natsume Yuujinchou Shichi
Acción y Aventura,8.57,TV,Natsume Yuujinchou Shichi
Emocionales y Humanistas,8.57,TV,Nana
Emocionales y Humanistas,8.56,TV,Uma Musume: Cinderella Gray
Acción y Aventura,8.56,TV,Uma Musume: Cinderella Gray
Emocionales y Humanistas,8.56,TV,[Oshi no Ko]
Emocionales y Humanistas,8.56,TV,Natsume Yuujinchou Go
Acción y Aventura,8.56,TV,Natsume Yuujinchou Go
Acción y Aventura,8.56,Movie,Kizumonogatari II: Nekketsu-hen
Misterio y Terror,8.56,Movie,Kizumonogatari II: Nekketsu-hen
Emocionales y Humanistas,8.56,Movie,Ookami Kodomo no Ame to Yuki
Acción y Aventura,8.56,Movie,Ookami Kodomo no Ame to Yuki
Emocionales y Humanistas,8.56,TV,Natsume Yuujinchou San
Acción y Aventura,8.56,TV,Natsume Yuujinchou San
Emocionales y Humanistas,8.56,TV,Shingeki no Kyojin
Acción y Aventura,8.56,TV,Shingeki no Kyojin
Misterio y Terror,8.56,TV,Shingeki no Kyojin
Fantásticos y Experimentales,8.56,ONA,Doupo Cangqiong: San Nian Zhi Yue
Acción y Aventura,8.56,ONA,Doupo Cangqiong: San Nian Zhi Yue
Acción y Aventura,8.56,TV,Haikyuu!! To the Top Part 2
Fantásticos y Experimentales,8.56,Movie,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni"
Emocionales y Humanistas,8.56,Movie,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni"
Acción y Aventura,8.56,Movie,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni"
Misterio y Terror,8.56,Movie,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni"
Emocionales y Humanistas,8.55,TV,[Oshi no Ko] 2nd Season
Emocionales y Humanistas,8.55,TV,Shouwa Genroku Rakugo Shinjuu
Emocionales y Humanistas,8.55,Movie,Kimi no Suizou wo Tabetai
Emocionales y Humanistas,8.55,TV,Yojouhan Shinwa Taikei
Comedia,8.55,TV,Yojouhan Shinwa Taikei
Misterio y Terror,8.55,TV,Yojouhan Shinwa Taikei
Fantásticos y Experimentales,8.55,Movie,Perfect Blue
Emocionales y Humanistas,8.55,Movie,Perfect Blue
Misterio y Terror,8.55,Movie,Perfect Blue
Acción y Aventura,8.55,TV,Slam Dunk
Acción y Aventura,8.55,Movie,Kimetsu no Yaiba Movie: Mugen Ressha-hen
Fantásticos y Experimentales,8.54,TV,Steins;Gate 0
Emocionales y Humanistas,8.54,TV,Steins;Gate 0
Misterio y Terror,8.54,TV,Steins;Gate 0
Fantásticos y Experimentales,8.54,TV,Fate/Zero 2nd Season
Acción y Aventura,8.54,TV,Fate/Zero 2nd Season
Emocionales y Humanistas,8.53,TV,Shingeki no Kyojin Season 2
Acción y Aventura,8.53,TV,Shingeki no Kyojin Season 2
Misterio y Terror,8.53,TV,Shingeki no Kyojin Season 2
Emocionales y Humanistas,8.53,TV,Zoku Natsume Yuujinchou
Acción y Aventura,8.53,TV,Zoku Natsume Yuujinchou
Emocionales y Humanistas,8.53,Movie,Hotaru no Haka
Emocionales y Humanistas,8.53,TV,Fruits Basket 2nd Season
Acción y Aventura,8.53,TV,Fruits Basket 2nd Season
Acción y Aventura,8.53,TV,Jujutsu Kaisen
Comedia,8.52,TV,Grand Blue Season 2
Acción y Aventura,8.52,ONA,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3
Emocionales y Humanistas,8.52,TV Special,Mushishi: Hihamukage
Acción y Aventura,8.52,TV Special,Mushishi: Hihamukage
Misterio y Terror,8.52,TV Special,Mushishi: Hihamukage
Fantásticos y Experimentales,8.52,Movie,Gintama Movie 1: Shinyaku Benizakura-hen
Comedia,8.52,Movie,Gintama Movie 1: Shinyaku Benizakura-hen
Acción y Aventura,8.52,Movie,Gintama Movie 1: Shinyaku Benizakura-hen
Emocionales y Humanistas,8.52,TV,Bakuman. 3rd Season
Comedia,8.52,TV,Bakuman. 3rd Season
Comedia,8.52,TV,Samurai Champloo
Acción y Aventura,8.52,TV,Samurai Champloo
Fantásticos y Experimentales,8.51,TV,Dr. Stone: Science Future Part 2
Comedia,8.51,TV,Dr. Stone: Science Future Part 2
Acción y Aventura,8.51,TV,Dr. Stone: Science Future Part 2
Comedia,8.51,TV,Dandadan 2nd Season
Acción y Aventura,8.51,TV,Dandadan 2nd Season
Fantásticos y Experimentales,8.51,Movie,Kara no Kyoukai Movie 5: Mujun Rasen
Emocionales y Humanistas,8.51,Movie,Kara no Kyoukai Movie 5: Mujun Rasen
Acción y Aventura,8.51,Movie,Kara no Kyoukai Movie 5: Mujun Rasen
Misterio y Terror,8.51,Movie,Kara no Kyoukai Movie 5: Mujun Rasen
Fantásticos y Experimentales,8.51,TV,Gintama. Porori-hen
Comedia,8.51,TV,Gintama. Porori-hen
Acción y Aventura,8.51,TV,Gintama. Porori-hen
Fantásticos y Experimentales,8.51,TV,Koukaku Kidoutai: Stand Alone Complex 2nd GIG
Acción y Aventura,8.51,TV,Koukaku Kidoutai: Stand Alone Complex 2nd GIG
Misterio y Terror,8.51,TV,Koukaku Kidoutai: Stand Alone Complex 2nd GIG
Fantásticos y Experimentales,8.5,Movie,Nezha Zhi Mo Tong Nao Hai
Emocionales y Humanistas,8.5,Movie,Nezha Zhi Mo Tong Nao Hai
Comedia,8.5,Movie,Nezha Zhi Mo Tong Nao Hai
Acción y Aventura,8.5,Movie,Nezha Zhi Mo Tong Nao Hai
Emocionales y Humanistas,8.5,TV,Yuru Camp△ Season 2
Emocionales y Humanistas,8.5,Movie,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
Misterio y Terror,8.5,Movie,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
Emocionales y Humanistas,8.5,TV,Sora yori mo Tooi Basho
Comedia,8.5,TV,Sora yori mo Tooi Basho
Acción y Aventura,8.5,TV,Sora yori mo Tooi Basho
Acción y Aventura,8.5,TV,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
Fantásticos y Experimentales,8.5,ONA,Tian Guan Cifu Special
Emocionales y Humanistas,8.5,ONA,Tian Guan Cifu Special
Acción y Aventura,8.5,ONA,Tian Guan Cifu Special
Emocionales y Humanistas,8.5,Movie,Shoujo☆Kageki Revue Starlight Movie
Comedia,8.49,TV,Mob Psycho 100
Acción y Aventura,8.49,TV,Mob Psycho 100
Fantásticos y Experimentales,8.49,TV,Ousama Ranking
Acción y Aventura,8.49,TV,Ousama Ranking
Misterio y Terror,8.48,TV,Yakusoku no Neverland
Comedia,8.48,TV,Uchuu Kyoudai
Comedia,8.48,TV,One Punch Man
Acción y Aventura,8.48,TV,One Punch Man
Fantásticos y Experimentales,8.47,ONA,Tian Guan Cifu Short Film
Emocionales y Humanistas,8.47,ONA,Tian Guan Cifu Short Film
Acción y Aventura,8.47,ONA,Tian Guan Cifu Short Film
Comedia,8.47,TV,Dandadan
Acción y Aventura,8.47,TV,Dandadan
Fantásticos y Experimentales,8.47,ONA,Mo Dao Zu Shi: Xian Yun Pian
Emocionales y Humanistas,8.47,ONA,Mo Dao Zu Shi: Xian Yun Pian
Acción y Aventura,8.47,ONA,Mo Dao Zu Shi: Xian Yun Pian
Misterio y Terror,8.47,ONA,Mo Dao Zu Shi: Xian Yun Pian
Fantásticos y Experimentales,8.47,Movie,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly
Acción y Aventura,8.47,Movie,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly
Comedia,8.47,TV,Ansatsu Kyoushitsu 2nd Season
Acción y Aventura,8.47,TV,Ansatsu Kyoushitsu 2nd Season
Fantásticos y Experimentales,8.47,TV,Aria the Origination
Emocionales y Humanistas,8.47,TV,Aria the Origination
Acción y Aventura,8.47,TV,Summertime Render
Misterio y Terror,8.47,TV,Summertime Render
Comedia,8.47,TV,Nichijou
Emocionales y Humanistas,8.46,Movie,Given Movie 3: Umi e
Íntimos y Adultos,8.46,Movie,Given Movie 3: Umi e
Fantásticos y Experimentales,8.46,ONA,Mo Dao Zu Shi
Emocionales y Humanistas,8.46,ONA,Mo Dao Zu Shi
Acción y Aventura,8.46,ONA,Mo Dao Zu Shi
Misterio y Terror,8.46,ONA,Mo Dao Zu Shi
Emocionales y Humanistas,8.46,TV,Rainbow: Nisha Rokubou no Shichinin
Misterio y Terror,8.46,TV,Rainbow: Nisha Rokubou no Shichinin
Comedia,8.46,Special,Gintama: The Semi-Final
Acción y Aventura,8.46,Special,Gintama: The Semi-Final
Acción y Aventura,8.46,TV,Yuu☆Yuu☆Hakusho
Emocionales y Humanistas,8.45,ONA,Kimi ni Todoke 3rd Season
Fantásticos y Experimentales,8.45,ONA,Pluto
Acción y Aventura,8.45,ONA,Pluto
Misterio y Terror,8.45,ONA,Pluto
Comedia,8.45,TV,Owarimonogatari
Acción y Aventura,8.45,TV,Owarimonogatari
Misterio y Terror,8.45,TV,Owarimonogatari
Fantásticos y Experimentales,8.45,Movie,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
Emocionales y Humanistas,8.45,Movie,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
Emocionales y Humanistas,8.45,TV,Banana Fish
Acción y Aventura,8.45,TV,Banana Fish
Misterio y Terror,8.45,TV,Banana Fish
Emocionales y Humanistas,8.45,TV,Chihayafuru 3
Acción y Aventura,8.45,TV,Chihayafuru 3
Fantásticos y Experimentales,8.44,TV,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season
Emocionales y Humanistas,8.44,TV,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season
Misterio y Terror,8.44,TV,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season
Acción y Aventura,8.44,TV,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen
Fantásticos y Experimentales,8.44,TV,Chainsaw Man
Acción y Aventura,8.44,TV,Chainsaw Man
Comedia,8.44,TV,Grand Blue
Comedia,8.44,TV,Spy x Family
Acción y Aventura,8.44,TV,Spy x Family
Fantásticos y Experimentales,8.44,ONA,Doupo Cangqiong: Nian Fan
Acción y Aventura,8.44,ONA,Doupo Cangqiong: Nian Fan
Comedia,8.43,TV,Zoku Owarimonogatari
Acción y Aventura,8.43,TV,Zoku Owarimonogatari
Misterio y Terror,8.43,TV,Zoku Owarimonogatari
Fantásticos y Experimentales,8.43,TV,Hunter x Hunter
Acción y Aventura,8.43,TV,Hunter x Hunter
Acción y Aventura,8.43,TV,Haikyuu!!
Acción y Aventura,8.43,TV,Golden Kamuy 3rd Season
Emocionales y Humanistas,8.42,TV Special,Mushishi Zoku Shou: Odoro no Michi
Acción y Aventura,8.42,TV Special,Mushishi Zoku Shou: Odoro no Michi
Misterio y Terror,8.42,TV Special,Mushishi Zoku Shou: Odoro no Michi
Emocionales y Humanistas,8.42,Movie,Natsume Yuujinchou Movie: Utsusemi ni Musubu
Acción y Aventura,8.42,Movie,Natsume Yuujinchou Movie: Utsusemi ni Musubu
Fantásticos y Experimentales,8.42,TV,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
Emocionales y Humanistas,8.42,TV,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
Misterio y Terror,8.42,TV,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
